127.0.0.1 - - [23/Jun/2021:09:21:47 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:21:49 -0700] "GET /OneToManyToOne/Update.jsp HTTP/1.1" 500 2744
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:21:49 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:22:13 -0700] "GET /OneToManyToOne/show.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:22:16 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:23:51 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:25:10 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:25:11 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:25:23 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:27:02 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:27:05 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:27:47 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:27:50 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:27:53 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:29:22 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:29:24 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:29:33 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 500 1457
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:30:51 -0700] "GET /OneToManyToOne/show.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:30:53 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:32:04 -0700] "GET /OneToManyToOne/show.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:32:06 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:32:55 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:33:47 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:48:19 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:49:59 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:50:48 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:51:15 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [23/Jun/2021:09:53:28 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [23/Jun/2021:10:55:01 -0700] "POST /OneToManyToOne/EmpController HTTP/1.1" 200 1650
